split,requested_pct,actual_pct,deviation_pp,within_tol,check,dx,test,train,val,global,max_dev_pp,diagnosis_1
train,71.42857142857144,71.41221374045801,0.016357688113430413,True,size,,,,,,,
val,14.285714285714285,14.293893129770993,0.008178844056708101,True,size,,,,,,,
test,14.285714285714285,14.293893129770993,0.008178844056708101,True,size,,,,,,,
,,,,,dx_proportion,BCC,48.06,48.16,48.06,48.13,0.07,
,,,,,dx_proportion,NV,14.29,14.22,14.29,14.24,0.05,
,,,,,dx_proportion,BKL,10.41,10.37,10.41,10.38,0.03,
,,,,,dx_proportion,SCCKA,8.95,9.06,8.95,9.03,0.08,
,,,,,dx_proportion,MEL,8.68,8.55,8.68,8.59,0.09,
,,,,,dx_proportion,AKIEC,5.74,5.8,5.74,5.78,0.04,
,,,,,dx_proportion,DF,0.93,0.99,1.07,0.99,0.08,
,,,,,dx_proportion,INF,0.93,0.96,0.93,0.95,0.02,
,,,,,dx_proportion,VASC,0.93,0.88,0.93,0.9,0.04,
,,,,,dx_proportion,BEN_OTH,0.8,0.86,0.8,0.84,0.04,
,,,,,dx_proportion,MAL_OTH,0.27,0.16,0.13,0.17,0.1,
,,,,,diagnosis_1_proportion,,69.43,69.35,69.29,69.35,0.07,Malignant
,,,,,diagnosis_1_proportion,,28.3,28.27,28.44,28.3,0.14,Benign
,,,,,diagnosis_1_proportion,,2.27,2.38,2.27,2.35,0.08,Indeterminate
